run,n,family,predicate,candidate,candidate_entities,ms,ns_per_candidate,hits
3,100000000,category,u16-in-8,sparse-scattered-1pct,999463,11.04,11.05,173
3,100000000,category,u16-in-32,sparse-scattered-1pct,999463,10.89,10.90,647
3,100000000,category,u32-eq,sparse-contiguous-1pct,1000000,0.21,0.21,0
3,100000000,category,u32-in-2,sparse-contiguous-1pct,1000000,0.85,0.85,5
3,100000000,category,u32-in-8,sparse-contiguous-1pct,1000000,1.66,1.66,12
3,100000000,category,u32-in-32,sparse-contiguous-1pct,1000000,2.84,2.84,32
3,100000000,category,u32-eq,broad-25pct,25000000,6.09,0.24,27
3,100000000,category,u32-in-2,broad-25pct,25000000,21.16,0.85,44
3,100000000,category,u32-in-8,broad-25pct,25000000,43.64,1.75,201
3,100000000,category,u32-in-32,broad-25pct,25000000,72.69,2.91,819
3,100000000,category,u32-eq,sparse-scattered-1pct,999463,13.27,13.28,2
3,100000000,category,u32-in-2,sparse-scattered-1pct,999463,18.90,18.91,2
3,100000000,category,u32-in-8,sparse-scattered-1pct,999463,27.16,27.18,5
3,100000000,category,u32-in-32,sparse-scattered-1pct,999463,29.46,29.48,30
