arm,rows,artifacts,mask_pct,viewport_pct,depth,route,runs,setup_ms,candidacy_us_median,count_us_median,containment_us_median,cut_us_median,total_us_median,total_us_min,total_us_max,candidates,served
dispersed,100000000,1000000,50,75,4,index,3,0,1048008,352724,1557636,0,2964045,2840062,3008849,980760,578580
dispersed,100000000,1000000,50,75,4,settled,3,175,114293,185,0,0,114478,108535,116905,578580,578580
dispersed,100000000,1000000,75,0.024,10,grouped,3,0,5281,314,1,750,6346,5294,6988,1654,1654
dispersed,100000000,1000000,75,0.024,10,hoisted,3,0,2034,321,1,764,3153,2763,3515,1654,1654
dispersed,100000000,1000000,75,0.024,10,index,3,0,6367,567,2568,0,9562,8044,9988,1984,1654
dispersed,100000000,1000000,75,0.024,10,settled,3,151,4468,1,0,0,4469,3834,5326,1654,1654
dispersed,100000000,1000000,75,0.39,8,grouped,3,0,27782,396,3,1179,29459,27405,31179,15669,15279
dispersed,100000000,1000000,75,0.39,8,hoisted,3,0,10056,366,2,1131,11560,10747,12862,15669,15279
dispersed,100000000,1000000,75,0.39,8,index,3,0,31045,6967,25673,0,63686,59149,68759,18774,15669
dispersed,100000000,1000000,75,0.39,8,settled,3,151,26808,9,0,0,26817,24192,27464,15669,15669
dispersed,100000000,1000000,75,100,0,grouped,3,0,979762,383,1,12689,992823,977045,1028679,830137,720
dispersed,100000000,1000000,75,100,0,hoisted,3,0,45722,362,1,12619,58727,57706,60923,830137,720
dispersed,100000000,1000000,75,100,0,index,3,0,1155149,358195,1318621,0,2832632,2740621,2845477,1000000,830137
dispersed,100000000,1000000,75,100,0,settled,3,151,11339,230,0,0,11569,11411,12583,830137,830137
dispersed,100000000,1000000,75,25,5,grouped,3,0,317197,392,1,6746,324307,316575,331980,317259,249675
dispersed,100000000,1000000,75,25,5,hoisted,3,0,30436,386,1,6785,37675,37165,41092,317259,249675
dispersed,100000000,1000000,75,25,5,index,3,0,371598,137887,506353,0,1015906,1000704,1027663,382267,317259
dispersed,100000000,1000000,75,25,5,settled,3,151,107744,91,0,0,107834,106442,110532,317259,317259
dispersed,100000000,1000000,75,50,4,grouped,3,0,626304,366,1,10499,637242,594952,649338,597477,187874
dispersed,100000000,1000000,75,50,4,hoisted,3,0,43210,370,2,10806,54388,53569,56046,597477,187874
dispersed,100000000,1000000,75,50,4,index,3,0,744398,259406,953446,0,1956634,1931080,2022399,719214,597477
dispersed,100000000,1000000,75,50,4,settled,3,151,171969,183,0,0,172152,159502,176026,597477,597477
dispersed,100000000,1000000,75,6.25,6,grouped,3,0,104978,410,2,3132,108509,103673,112017,111214,107146
dispersed,100000000,1000000,75,6.25,6,hoisted,3,0,18566,384,2,2940,21885,20752,23120,111214,107146
dispersed,100000000,1000000,75,6.25,6,index,3,0,122101,48512,180625,0,348873,344513,380687,134011,111214
dispersed,100000000,1000000,75,6.25,6,settled,3,151,93716,34,0,0,93751,91872,101355,111214,111214
dispersed,100000000,1000000,75,75,4,grouped,3,0,884050,370,2,12748,897488,888074,923080,814180,24238
dispersed,100000000,1000000,75,75,4,hoisted,3,0,50837,357,2,13070,64064,63310,70916,814180,24238
dispersed,100000000,1000000,75,75,4,index,3,0,1040889,353271,1296643,0,2691297,2537651,2719838,980774,814180
dispersed,100000000,1000000,75,75,4,settled,3,151,157355,228,0,0,157583,154775,159551,814180,814180
dispersed,100000000,1000000,9.375,0.024,10,grouped,3,0,1422,64,1,645,2119,2076,2361,284,284
dispersed,100000000,1000000,9.375,0.024,10,hoisted,3,0,948,63,1,647,1656,1624,1779,284,284
dispersed,100000000,1000000,9.375,0.024,10,index,3,0,7178,423,3266,0,10843,9364,12442,1742,284
dispersed,100000000,1000000,9.375,0.024,10,settled,3,178,952,0,0,0,953,891,2581,284,284
dispersed,100000000,1000000,9.375,0.39,8,grouped,3,0,9694,359,2,880,11009,9199,11491,2787,2772
dispersed,100000000,1000000,9.375,0.39,8,hoisted,3,0,6228,312,2,810,7409,6343,9710,2787,2772
dispersed,100000000,1000000,9.375,0.39,8,index,3,0,30029,6120,31772,0,67805,66336,69733,17165,2787
dispersed,100000000,1000000,9.375,0.39,8,settled,3,178,8761,4,0,0,8765,6570,9802,2787,2787
dispersed,100000000,1000000,9.375,100,0,grouped,3,0,180283,386,2,4810,185481,179739,192472,144553,26284
dispersed,100000000,1000000,9.375,100,0,hoisted,3,0,28988,361,2,4709,34095,33081,35790,144553,26284
dispersed,100000000,1000000,9.375,100,0,index,3,0,1099056,329296,1740232,0,3163089,3140582,3231926,1000000,144553
dispersed,100000000,1000000,9.375,100,0,settled,3,178,1855,112,0,0,1987,1854,2036,144553,144553
dispersed,100000000,1000000,9.375,25,5,grouped,3,0,64545,390,2,2606,67491,67083,70866,54796,52900
dispersed,100000000,1000000,9.375,25,5,hoisted,3,0,18733,407,2,2517,21764,21222,24000,54796,52900
dispersed,100000000,1000000,9.375,25,5,index,3,0,354945,125170,663839,0,1142605,1121788,1194597,376571,54796
dispersed,100000000,1000000,9.375,25,5,settled,3,178,24306,53,0,0,24358,23611,25595,54796,54796
dispersed,100000000,1000000,9.375,50,4,grouped,3,0,122395,490,2,4048,127750,125093,133134,104214,89444
dispersed,100000000,1000000,9.375,50,4,hoisted,3,0,26255,501,2,3978,30736,30237,31351,104214,89444
dispersed,100000000,1000000,9.375,50,4,index,3,0,709285,234112,1254341,0,2195764,2167055,2217053,716142,104214
dispersed,100000000,1000000,9.375,50,4,settled,3,178,34168,96,0,0,34264,33588,38474,104214,104214
dispersed,100000000,1000000,9.375,6.25,6,grouped,3,0,25564,459,2,1509,27549,26303,28799,19153,19028
dispersed,100000000,1000000,9.375,6.25,6,hoisted,3,0,11626,411,2,1445,13493,12537,14431,19153,19028
dispersed,100000000,1000000,9.375,6.25,6,index,3,0,117248,43885,231756,0,393944,385315,404318,130767,19153
dispersed,100000000,1000000,9.375,6.25,6,settled,3,178,21675,21,0,0,21694,20948,22549,19153,19153
dispersed,100000000,1000000,9.375,75,4,grouped,3,0,165862,402,2,5028,171332,169144,181493,141384,87518
dispersed,100000000,1000000,9.375,75,4,hoisted,3,0,30551,421,2,4858,35739,35163,37074,141384,87518
dispersed,100000000,1000000,9.375,75,4,index,3,0,999185,321914,1706749,0,3016094,2972994,3046060,978857,141384
dispersed,100000000,1000000,9.375,75,4,settled,3,178,28798,126,0,0,28921,28840,30432,141384,141384
