n,mean_values,domain,candidate,candidates,operator,layout,ms,ns_per_candidate,hits,bytes,needle_members
10000000,5,400000,scattered-1pct,100031,none_of,postings,0.860,8.60,99504,326146540,57888
10000000,5,400000,scattered-1pct,100031,none_of,pairs,47.516,475.01,99504,400071504,57888
10000000,5,400000,scattered-25pct,2502051,any_of,csr,43.674,17.46,14338,240035756,57888
10000000,5,400000,scattered-25pct,2502051,any_of,postings,0.584,0.23,14338,326146540,57888
10000000,5,400000,scattered-25pct,2502051,any_of,pairs,159.820,63.88,14338,400071504,57888
10000000,5,400000,scattered-25pct,2502051,all_of,csr,39.473,15.78,15,240035756,46969
10000000,5,400000,scattered-25pct,2502051,all_of,postings,0.043,0.02,15,326146540,46969
10000000,5,400000,scattered-25pct,2502051,all_of,pairs,159.060,63.57,15,400071504,46969
10000000,5,400000,scattered-25pct,2502051,none_of,csr,53.984,21.58,2487713,240035756,57888
10000000,5,400000,scattered-25pct,2502051,none_of,postings,0.627,0.25,2487713,326146540,57888
10000000,5,400000,scattered-25pct,2502051,none_of,pairs,171.653,68.60,2487713,400071504,57888
100000000,2,200,contiguous-1pct,1000000,any_of,csr,8.718,8.72,87051,1193132940,8888318
100000000,2,200,contiguous-1pct,1000000,any_of,postings,10.081,10.08,87051,382369080,8888318
100000000,2,200,contiguous-1pct,1000000,any_of,pairs,10.562,10.56,87051,1586265872,8888318
100000000,2,200,contiguous-1pct,1000000,all_of,csr,8.093,8.09,674,1193132940,6902404
100000000,2,200,contiguous-1pct,1000000,all_of,postings,3.046,3.05,674,382369080,6902404
100000000,2,200,contiguous-1pct,1000000,all_of,pairs,10.408,10.41,674,1586265872,6902404
100000000,2,200,contiguous-1pct,1000000,none_of,csr,11.841,11.84,912949,1193132940,8888318
100000000,2,200,contiguous-1pct,1000000,none_of,postings,9.833,9.83,912949,382369080,8888318
100000000,2,200,contiguous-1pct,1000000,none_of,pairs,13.504,13.50,912949,1586265872,8888318
100000000,2,200,contiguous-25pct,25000000,any_of,csr,220.114,8.80,2180416,1193132940,8888318
100000000,2,200,contiguous-25pct,25000000,any_of,postings,9.922,0.40,2180416,382369080,8888318
100000000,2,200,contiguous-25pct,25000000,any_of,pairs,264.071,10.56,2180416,1586265872,8888318
100000000,2,200,contiguous-25pct,25000000,all_of,csr,201.926,8.08,16287,1193132940,6902404
100000000,2,200,contiguous-25pct,25000000,all_of,postings,3.247,0.13,16287,382369080,6902404
100000000,2,200,contiguous-25pct,25000000,all_of,pairs,259.179,10.37,16287,1586265872,6902404
100000000,2,200,contiguous-25pct,25000000,none_of,csr,279.586,11.18,22819584,1193132940,8888318
100000000,2,200,contiguous-25pct,25000000,none_of,postings,9.265,0.37,22819584,382369080,8888318
100000000,2,200,contiguous-25pct,25000000,none_of,pairs,305.735,12.23,22819584,1586265872,8888318
100000000,2,200,blocked-1pct,1048576,any_of,csr,8.349,7.96,91876,1193132940,8888318
100000000,2,200,blocked-1pct,1048576,any_of,postings,9.011,8.59,91876,382369080,8888318
100000000,2,200,blocked-1pct,1048576,any_of,pairs,10.134,9.66,91876,1586265872,8888318
100000000,2,200,blocked-1pct,1048576,all_of,csr,7.719,7.36,688,1193132940,6902404
100000000,2,200,blocked-1pct,1048576,all_of,postings,2.702,2.58,688,382369080,6902404
100000000,2,200,blocked-1pct,1048576,all_of,pairs,9.968,9.51,688,1586265872,6902404
100000000,2,200,blocked-1pct,1048576,none_of,csr,11.304,10.78,956700,1193132940,8888318
100000000,2,200,blocked-1pct,1048576,none_of,postings,8.705,8.30,956700,382369080,8888318
100000000,2,200,blocked-1pct,1048576,none_of,pairs,12.849,12.25,956700,1586265872,8888318
100000000,2,200,blocked-25pct,25034752,any_of,csr,199.075,7.95,2189716,1193132940,8888318
100000000,2,200,blocked-25pct,25034752,any_of,postings,8.846,0.35,2189716,382369080,8888318
100000000,2,200,blocked-25pct,25034752,any_of,pairs,239.932,9.58,2189716,1586265872,8888318
100000000,2,200,blocked-25pct,25034752,all_of,csr,183.758,7.34,16472,1193132940,6902404
100000000,2,200,blocked-25pct,25034752,all_of,postings,2.663,0.11,16472,382369080,6902404
100000000,2,200,blocked-25pct,25034752,all_of,pairs,237.732,9.50,16472,1586265872,6902404
100000000,2,200,blocked-25pct,25034752,none_of,csr,270.338,10.80,22845036,1193132940,8888318
100000000,2,200,blocked-25pct,25034752,none_of,postings,9.137,0.36,22845036,382369080,8888318
100000000,2,200,blocked-25pct,25034752,none_of,pairs,307.857,12.30,22845036,1586265872,8888318
100000000,2,200,scattered-1pct,999934,any_of,csr,49.111,49.11,87209,1193132940,8888318
100000000,2,200,scattered-1pct,999934,any_of,postings,9.743,9.74,87209,382369080,8888318
100000000,2,200,scattered-1pct,999934,any_of,pairs,346.378,346.40,87209,1586265872,8888318
100000000,2,200,scattered-1pct,999934,all_of,csr,30.440,30.44,670,1193132940,6902404
100000000,2,200,scattered-1pct,999934,all_of,postings,3.043,3.04,670,382369080,6902404
100000000,2,200,scattered-1pct,999934,all_of,pairs,354.093,354.12,670,1586265872,6902404
100000000,2,200,scattered-1pct,999934,none_of,csr,51.974,51.98,912725,1193132940,8888318
100000000,2,200,scattered-1pct,999934,none_of,postings,9.948,9.95,912725,382369080,8888318
100000000,2,200,scattered-1pct,999934,none_of,pairs,351.270,351.29,912725,1586265872,8888318
100000000,2,200,scattered-25pct,25004702,any_of,csr,338.079,13.52,2183405,1193132940,8888318
100000000,2,200,scattered-25pct,25004702,any_of,postings,16.667,0.67,2183405,382369080,8888318
100000000,2,200,scattered-25pct,25004702,any_of,pairs,1373.224,54.92,2183405,1586265872,8888318
100000000,2,200,scattered-25pct,25004702,all_of,csr,349.963,14.00,16318,1193132940,6902404
100000000,2,200,scattered-25pct,25004702,all_of,postings,3.849,0.15,16318,382369080,6902404
100000000,2,200,scattered-25pct,25004702,all_of,pairs,1430.942,57.23,16318,1586265872,6902404
100000000,2,200,scattered-25pct,25004702,none_of,csr,451.559,18.06,22821297,1193132940,8888318
100000000,2,200,scattered-25pct,25004702,none_of,postings,11.816,0.47,22821297,382369080,8888318
100000000,2,200,scattered-25pct,25004702,none_of,pairs,1540.796,61.62,22821297,1586265872,8888318
100000000,5,400000,contiguous-1pct,1000000,any_of,csr,10.847,10.85,5727,2399926020,578106
100000000,5,400000,contiguous-1pct,1000000,any_of,postings,6.244,6.24,5727,3230314728,578106
100000000,5,400000,contiguous-1pct,1000000,any_of,pairs,13.468,13.47,5727,3999852032,578106
100000000,5,400000,contiguous-1pct,1000000,all_of,csr,9.777,9.78,7,2399926020,470200
100000000,5,400000,contiguous-1pct,1000000,all_of,postings,0.464,0.46,7,3230314728,470200
100000000,5,400000,contiguous-1pct,1000000,all_of,pairs,13.838,13.84,7,3999852032,470200
100000000,5,400000,contiguous-1pct,1000000,none_of,csr,15.148,15.15,994273,2399926020,578106
100000000,5,400000,contiguous-1pct,1000000,none_of,postings,6.512,6.51,994273,3230314728,578106
100000000,5,400000,contiguous-1pct,1000000,none_of,pairs,18.156,18.16,994273,3999852032,578106
100000000,5,400000,contiguous-25pct,25000000,any_of,csr,281.900,11.28,144587,2399926020,578106
100000000,5,400000,contiguous-25pct,25000000,any_of,postings,7.447,0.30,144587,3230314728,578106
100000000,5,400000,contiguous-25pct,25000000,any_of,pairs,352.712,14.11,144587,3999852032,578106
100000000,5,400000,contiguous-25pct,25000000,all_of,csr,235.773,9.43,117,2399926020,470200
100000000,5,400000,contiguous-25pct,25000000,all_of,postings,0.830,0.03,117,3230314728,470200
100000000,5,400000,contiguous-25pct,25000000,all_of,pairs,316.354,12.65,117,3999852032,470200
100000000,5,400000,contiguous-25pct,25000000,none_of,csr,349.090,13.96,24855413,2399926020,578106
100000000,5,400000,contiguous-25pct,25000000,none_of,postings,7.608,0.30,24855413,3230314728,578106
100000000,5,400000,contiguous-25pct,25000000,none_of,pairs,405.727,16.23,24855413,3999852032,578106
100000000,5,400000,blocked-1pct,1048576,any_of,csr,10.695,10.20,6100,2399926020,578106
100000000,5,400000,blocked-1pct,1048576,any_of,postings,5.282,5.04,6100,3230314728,578106
100000000,5,400000,blocked-1pct,1048576,any_of,pairs,13.304,12.69,6100,3999852032,578106
100000000,5,400000,blocked-1pct,1048576,all_of,csr,9.108,8.69,2,2399926020,470200
100000000,5,400000,blocked-1pct,1048576,all_of,postings,0.452,0.43,2,3230314728,470200
100000000,5,400000,blocked-1pct,1048576,all_of,pairs,13.122,12.51,2,3999852032,470200
100000000,5,400000,blocked-1pct,1048576,none_of,csr,14.389,13.72,1042476,2399926020,578106
100000000,5,400000,blocked-1pct,1048576,none_of,postings,5.372,5.12,1042476,3230314728,578106
100000000,5,400000,blocked-1pct,1048576,none_of,pairs,17.058,16.27,1042476,3999852032,578106
100000000,5,400000,blocked-25pct,25034752,any_of,csr,256.864,10.26,144584,2399926020,578106
100000000,5,400000,blocked-25pct,25034752,any_of,postings,5.230,0.21,144584,3230314728,578106
100000000,5,400000,blocked-25pct,25034752,any_of,pairs,321.470,12.84,144584,3999852032,578106
100000000,5,400000,blocked-25pct,25034752,all_of,csr,218.752,8.74,132,2399926020,470200
100000000,5,400000,blocked-25pct,25034752,all_of,postings,0.893,0.04,132,3230314728,470200
100000000,5,400000,blocked-25pct,25034752,all_of,pairs,313.650,12.53,132,3999852032,470200
100000000,5,400000,blocked-25pct,25034752,none_of,csr,347.022,13.86,24890168,2399926020,578106
100000000,5,400000,blocked-25pct,25034752,none_of,postings,6.257,0.25,24890168,3230314728,578106
100000000,5,400000,blocked-25pct,25034752,none_of,pairs,409.929,16.37,24890168,3999852032,578106
100000000,5,400000,scattered-1pct,999934,any_of,csr,87.232,87.24,5714,2399926020,578106
100000000,5,400000,scattered-1pct,999934,any_of,postings,6.263,6.26,5714,3230314728,578106
100000000,5,400000,scattered-1pct,999934,any_of,pairs,483.871,483.90,5714,3999852032,578106
100000000,5,400000,scattered-1pct,999934,all_of,csr,46.543,46.55,3,2399926020,470200
100000000,5,400000,scattered-1pct,999934,all_of,postings,0.444,0.44,3,3230314728,470200
100000000,5,400000,scattered-1pct,999934,all_of,pairs,486.588,486.62,3,3999852032,470200
100000000,5,400000,scattered-1pct,999934,none_of,csr,84.199,84.20,994220,2399926020,578106
100000000,5,400000,scattered-1pct,999934,none_of,postings,9.539,9.54,994220,3230314728,578106
100000000,5,400000,scattered-1pct,999934,none_of,pairs,536.899,536.93,994220,3999852032,578106
100000000,5,400000,scattered-25pct,25004702,any_of,csr,428.296,17.13,145043,2399926020,578106
100000000,5,400000,scattered-25pct,25004702,any_of,postings,7.450,0.30,145043,3230314728,578106
100000000,5,400000,scattered-25pct,25004702,any_of,pairs,1785.945,71.42,145043,3999852032,578106
100000000,5,400000,scattered-25pct,25004702,all_of,csr,389.738,15.59,116,2399926020,470200
100000000,5,400000,scattered-25pct,25004702,all_of,postings,0.940,0.04,116,3230314728,470200
100000000,5,400000,scattered-25pct,25004702,all_of,pairs,1789.336,71.56,116,3999852032,470200
100000000,5,400000,scattered-25pct,25004702,none_of,csr,550.185,22.00,24859659,2399926020,578106
100000000,5,400000,scattered-25pct,25004702,none_of,postings,9.164,0.37,24859659,3230314728,578106
100000000,5,400000,scattered-25pct,25004702,none_of,pairs,1884.738,75.38,24859659,3999852032,578106
